col_en,val_en,col_ar,val_ar
Causes of death,Diseases of the musculoskeletal system and connective tissue  ,سبب الوفاة,أمراض الجِهاز الهَيكَلي العضلي والنسِيج الضَّام
Causes of death,"Congenital malformations, deformations and chromosomal abnormalities  ",سبب الوفاة,تشوهات خلقية، عيوب خلقية وكروموزومية
Causes of death,Certain conditions originating in the perinatal period  ,سبب الوفاة,حالات معينة تنشأ في فَتْرَة ما حول الولادة
Causes of death,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified  ",سبب الوفاة,أعراض وعلامات نتائج اكلينكية معملية غير عادية وغير مصنفة في مكان آخر
Causes of death,"Injury, poisoning and certain other consequences of external causes  ",سبب الوفاة,إصابات أو تسمُّمَات أو بعض عواقب أخرى لأسباب خارجية
Causes of death,Codes for special purposes  ,سبب الوفاة,رُموز لِأَغراض خَاصَّة
Causes of death,External causes of morbidity and mortality  ,سبب الوفاة,أسباب خارجية للمرضَ والوَفاة
Causes of death,Factors influencing health status and contact with health services  ,سبب الوفاة,عوامل تؤثر في الحالة الصحية وفي الاتصال بالخدمات الصحية
Causes of death,Unspecified,سبب الوفاة,غير مبين
Causes of death,Certain infectious or parasitic diseases,سبب الوفاة,بعض الأمراض المُعْدِية (العَدْوائيَّة) أو الطفَيليَّة
Causes of death,Neoplasms,سبب الوفاة,أورام
Causes of death,Diseases of the blood or blood-forming organs,سبب الوفاة,أمراض في الدَّم وفي الأعضاء المُكونة للدم
Causes of death,Diseases of the immune system,سبب الوفاة,أمراض جهاز المَناعَة
Causes of death,"Endocrine, nutritional or metabolic diseases",سبب الوفاة,أمراض الغدد الصماء أو أمراض التغذية أو أمراض الاستقلاب
Causes of death,"Mental, behavioural or neurodevelopmental disorders",سبب الوفاة,اضطِرابات نَفسيَّة أو سُلوكيَّة أو اضطرابات النماء العصبي
Causes of death,Sleep-wake disorders,سبب الوفاة,اضطرابات النوم-الاستيقاظ
Causes of death,Diseases of the nervous system,سبب الوفاة,أمراض الجِهَاز العَصَبي
Causes of death,Diseases of the visual system,سبب الوفاة,أمراض في جهاز البصر
Causes of death,Diseases of the ear or mastoid process,سبب الوفاة,أمراض الأذن أوالنَّاتئ الخُشَّائي (الحَلَمي)
Causes of death,Diseases of the circulatory system,سبب الوفاة,امراض الجهاز الدوري الدموي
Causes of death,Diseases of the respiratory system,سبب الوفاة,أمراض الجِهاز التنفسي
Causes of death,Diseases of the digestive system,سبب الوفاة,أمراض جهاز الهَضْمي
Causes of death,Diseases of the skin,سبب الوفاة,أَمرَاض الجِلد
Causes of death,Diseases of the musculoskeletal system or connective tissue,سبب الوفاة,أمراض الجِهاز العضلي الهَيكَلي أو النسِيج الضَّام
Causes of death,Diseases of the genitourinary system,سبب الوفاة,أمراض الجِهَاز البَولي التَّناسُلي
Causes of death,Conditions related to sexual health,سبب الوفاة,حالات ترتبط بالصحة الجنسية
Causes of death,"Pregnancy, childbirth or the puerperium",سبب الوفاة,الحَمْل أو الولادة أو النِّفاس
Causes of death,Certain conditions originating in the perinatal period,سبب الوفاة,بعض حَالات تنشأ في الفَتْرَة المُحِيْطَة بالولادة
Causes of death,Developmental anomalies,سبب الوفاة,شذوذات في النماء
Causes of death,"Symptoms, signs or clinical findings, not elsewhere classified",سبب الوفاة,أعراض أو علامات أو نتائج سريرية، لم يتم تصنيفها في مكان آخر
Causes of death,"Injury, poisoning or certain other consequences of external causes",سبب الوفاة,إصابات أو تسمُّمَات أو بعض عقابيل أخرى أسبابها خارجية
Causes of death,External causes of morbidity or mortality,سبب الوفاة,أسباب خارجية للمراضَة والوَفيات
Causes of death,Factors influencing health status or contact with health services,سبب الوفاة,عَوامِل تؤثر على الحالة الصحية أو على الاتصال بالخَدمات الصحية
Causes of death,Codes for special purposes,سبب الوفاة,رموز لِأَغراض خَاصَّة
International classification for causes of death,,التصنيف الدولي لاسباب الوفاة,
Marital status,Marital status Total,الحالة الزوجية,جميع الحالات الزوجية
Marital status,Married,الحالة الزوجية,متزوج
Marital status,Never married,الحالة الزوجية,لم يسبق له الزواج
Marital status,Others,الحالة الزوجية,غيره
Marital status,Separated/ divorced,الحالة الزوجية,منفصل/ مطلق
Marital status,Widowed,الحالة الزوجية,ارمل
Country,Algeria,الدولة,الجزائر
Country,Bahrain,الدولة,البحرين
Country,Comoros Islands,الدولة,جزر القمر
Country,Djibouti,الدولة,جيبوتي
Country,Egypt,الدولة,مصر
Country,Iraq,الدولة,العراق
Country,Jordan,الدولة,الأردن
Country,Kuwait,الدولة,الكويت
Country,Lebanon,الدولة,لبنان
Country,Libya,الدولة,ليبيا
Country,Mauritania,الدولة,موريتانيا
Country,Morocco,الدولة,المغرب
Country,Oman,الدولة,عُمان
Country,Palestine,الدولة,فلسطين
Country,Qatar,الدولة,قطر
Country,Saudi Arabia,الدولة,المملكة العربية السعودية
Country,Somalia,الدولة,الصومال
Country,Sudan,الدولة,السودان
Country,Syrian Arab Republic,الدولة,الجمهورية العربية السورية
Country,Tunisia,الدولة,تونس
Country,United Arab Emirates,الدولة,الإمارات العربية المتحدة
Country,Yemen,الدولة,اليمن
Economic activity,Agriculture,أقسام النشاط الإقتصادي,زراعة وحراجة
Economic activity,Construction,أقسام النشاط الإقتصادي,بناء وتشييد
Economic activity,Industry,أقسام النشاط الإقتصادي,صناعة
Economic activity,Not adequately defined,أقسام النشاط الإقتصادي,غير مصنف
Economic activity,Services,أقسام النشاط الإقتصادي,خدمات
Education level,All levels,المرحلة التعليمية,جميع المراحل التعليمية
Education level,Preparatory,المرحلة التعليمية,إعدادي
Education level,Primary,المرحلة التعليمية,إبتدائي
Education level,Basic,المرحلة التعليمية,أساسي
Education level,Secondary/Academic &Vocational,المرحلة التعليمية,ثانوي/أكاديمي ومهني
Education level,Tertiary/Academic &Vocational,المرحلة التعليمية,جامعي/أكاديمي ومهني
Employment status,Contributing family workers,وضع العمالة,يعمل بدون أجر لدى الأسرة أو الأقارب
Employment status,Employees,وضع العمالة,مستخدم (يعمل بأجر)
Employment status,Employer,وضع العمالة,رب عمل
Employment status,Other,وضع العمالة,اخرى
Employment status,Own-account workers,وضع العمالة,يعمل لحسابه
Indicator,Active mobile broadband subscribers per 100 inhabitants,المؤشر,عدد الاشتراكات النشطة في الحزمة العريضة النقالة لكل 100 نسمة
Indicator,"Adult literacy rate, population aged 15 and above",المؤشر,معدل معرفة القراءة والكتابة للفئة العمرية 15 سنة وما فوق (نسبة مئوية)
Indicator,Population size by nationality,المؤشر,حجم السكان حسب المواطنة
Indicator,Population size by area,المؤشر,حجم السكان حسب المنطقة
Indicator,Average annual population growth rate (%),المؤشر,معدل النمو السكاني السنوي (%)
Indicator,Refugee population (number),المؤشر,السكان اللاجئين (العدد)
Indicator,International migrant stock (number),المؤشر,المهاجرين الدوليين (العدد)
Indicator,Average household size by nationality,المؤشر,متوسط حجم الأسرة المعيشية حسب المواطنة
Indicator,Average household size by area,المؤشر,متوسط حجم الأسرة المعيشية حسب المنطقة
Indicator,Households headed by women (%) by nationality,المؤشر,الأسر المعيشية التي ترأسها امرأة (%) حسب المواطنة
Indicator,Households headed by women (%) by area,المؤشر,الأسر المعيشية التي ترأسها امرأة (%) حسب المنطقة
Indicator,Population distribution by marital status and area (number),المؤشر,توزيع السكان حسب الحالة الزواجية
Indicator,Population distribution by marital status  and area (%),المؤشر,توزيع السكان حسب الحالة الزواجية والمنطقة (عدد)
Indicator,Population distribution by marital status and nationality  (number),المؤشر,توزيع السكان حسب الحالة الزواجية والمنطقة (%)
Indicator,Population distribution by marital status and nationality (%),المؤشر,توزيع السكان حسب الحالة الزواجية والمواطنة (عدد)
Indicator,Mean age at first marriage (years) by nationality,المؤشر,متوسط العمر عند الزواج الأول (سنوات) حسب المواطنة
Indicator,Mean age at first marriage (years) by area,المؤشر,متوسط العمر عند الزواج الأول (سنوات) حسب المنطقة
Indicator,Registered marriages (number),المؤشر,حالات الزواج المسجلة (عدد)
Indicator,"Crude marriage rate (per 1,000 inhabitants)",المؤشر,"معدل الزواج الخام (لكل 1,000 نسمة)"
Indicator,Registered divorces (number),المؤشر,حالات الطلاق المسجلة (عدد)
Indicator,"Crude divorce rate (per 1,000 inhabitants)",المؤشر,"معدل الطلاق الخام (لكل 1,000 نسمة)"
Indicator,"Age specific fertility rates (births per 1,000 women aged 15-49)",المؤشر,"معدلات الخصوبة العمرية التفصيلية (عدد المواليد لكل 1,000 امرأة في الفئة العمرية 15-49)"
Indicator,Total fertility rate (children per woman) by nationality,المؤشر,معدل الخصوبة الكلي (عدد الولادات لكل امرأة) حسب المواطنة
Indicator,Total fertility rate (children per woman) by area,المؤشر,معدل الخصوبة الكلي (عدد الولادات لكل امرأة) حسب المنطقة
Indicator,"Crude birth rate (per 1,000 inhabitants)",المؤشر,"معدل الولادات الخام (لكل 1,000 نسمة)"
Indicator,Registered livebirths (number) by nationality,المؤشر,عدد الولادات الحية المسجلة (عدد) حسب المواطنة
Indicator,Registered livebirths (number) by area,المؤشر,عدد الولادات الحية المسجلة (عدد) حسب المنطقة
Indicator,Proportion of children under 5 years of age whose births have been registered with a civil authority,المؤشر,نسبة الأطفال دون سن الخامسة الذين كانت ولادتهم مسجلة لدى سلطة مدنية
Indicator,Sex ratio at birth (male birth per female birth),المؤشر,نسبة الذكور الى الإناث (عند الولادة)
Indicator,Life expectancy at birth (years),المؤشر,العمر المتوقع عند الولادة (السنوات)
Indicator,"Crude death rate (per 1,000 inhabitants)",المؤشر,"معدل الوفيات الخام (لكل 1,000 نسمة)"
Indicator,Registered deaths (number) by nationality,المؤشر,عدد الوفيات المسجلة حسب المواطنة
Indicator,Registered deaths (number) by area,المؤشر,عدد الوفيات المسجلة حسب المنطقة
Indicator,"Infant mortality rate (per 1,000 livebirths) by nationality",المؤشر,"معدل وفيات الأطفال الرضع (لكل 1,000 ولادة حية) حسب المواطنة"
Indicator,"Infant mortality rate (per 1,000 livebirths) by area",المؤشر,"معدل وفيات الأطفال الرضع (لكل 1,000 ولادة حية) حسب المنطقة"
Indicator,"Under-five mortality rate (per 1,000 livebirths) by nationality",المؤشر,"معدل وفيات الأطفال دون سن الخامسة (لكل 1,000 ولادة حية) حسب المواطنة"
Indicator,"Under-five mortality rate (per 1,000 livebirths) by area",المؤشر,"معدل وفيات الأطفال دون سن الخامسة (لكل 1,000 ولادة حية) حسب المنطقة"
Indicator,Mortality rate for children (1-4 years) by nationality,المؤشر,معدل وفيات الأطفال (1-4 سنوات) حسب المواطنة
Indicator,Mortality rate for children (1-4 years) by area,المؤشر,معدل وفيات الأطفال (1-4 سنوات) حسب المنطقة
Indicator,"Number of victims of intentional homicide per 100,000 population",المؤشر,"عدد الوفيات والأشخاص المفقودين والأشخاص المتضررين من الكوارث لكل 100,000 شخص"
Indicator,Causes of death - ICD 10 by nationality,المؤشر,أسباب الوفيات - ICD 10 حسب المواطنة
Indicator,Causes of death - ICD 11 by nationality,المؤشر,أسباب الوفيات - ICD 11 حسب المواطنة
Indicator,"Maternal mortality ratio (per 100,000 live births) by nationality",المؤشر,"معدل وفيات الأمهات (لكل 100,000 ولادة حية) حسب المواطنة"
Indicator,"Maternal mortality ratio (per 100,000 live births) by area",المؤشر,"معدل وفيات الأمهات (لكل 100,000 ولادة حية) حسب المنطقة"
Indicator,Births attended by skilled health personnel (percent) by nationality,المؤشر,الولادات التي يشرف عليها أخصائيون صحّيون مَهَرة (نسبة مئوية) حسب المواطنة
Indicator,Births attended by skilled health personnel (percent) by area,المؤشر,الولادات التي يشرف عليها أخصائيون صحّيون مَهَرة (نسبة مئوية) حسب المنطقة
Indicator,Antenatal care (percent) by nationality,المؤشر,الرعاية قبل الولادة (4 زيارات على الأقل أثناء الحمل) (نسبة مئوية) حسب المواطنة
Indicator,Antenatal care (percent) by area,المؤشر,الرعاية قبل الولادة (4 زيارات على الأقل أثناء الحمل) (نسبة مئوية) حسب المنطقة
Indicator,Use of modern contraception method (percent) by nationality,المؤشر,استخدام وسائل منع الحمل الحديثة (نسبة مئوية) حسب المواطنة
Indicator,Use of modern contraception method (percent) by area,المؤشر,استخدام وسائل منع الحمل الحديثة (نسبة مئوية) حسب المنطقة
Indicator,Use of traditional contraception method (percent) by nationality,المؤشر,استخدام وسائل منع الحمل التقليدية (نسبة مئوية) حسب المواطنة
Indicator,Use of traditional contraception method (percent) by area,المؤشر,استخدام وسائل منع الحمل التقليدية (نسبة مئوية) حسب المنطقة
Indicator,Use of contraception (percent) by nationality,المؤشر,استخدام وسائل منع الحمل (الحديثة والتقليدية) (نسبة مئوية) حسب المواطنة
Indicator,Use of contraception (percent) by area,المؤشر,استخدام وسائل منع الحمل (الحديثة والتقليدية) (نسبة مئوية) حسب المنطقة
Indicator,"DPT (Diphteria, Pertussis, Tetanus) immunization coverage rate (percent) for children aged between 12-23 months",المؤشر,النسبة المئوية للتحصين ضد الثلاثي (الكزاز+ الدفتريا + السعال الديكي) للأطفال الذين تتراوح أعمارهم بين 12-23 شهرا
Indicator,Measles immunization coverage rate (percent) for children aged between 12-23 months,المؤشر,النسبة المئوية للتحصين ضد الحصبة للأطفال الذين تتراوح أعمارهم بين 12-23 شهرا
Indicator,BCG immunization coverage rate (percent) for children aged between 12-23 months,المؤشر,النسبة المئوية للتحصين ضد السل (التدرن) للأطفال الذين تتراوح أعمارهم بين 12-23 شهرا
Indicator,Polio immunization coverage rate (percent) for children aged between 12-23 months,المؤشر,النسبة المئوية للتحصين ضد الشلل للأطفال الذين تتراوح أعمارهم بين 12-23 شهرا
Indicator,Hepatitis immunization coverage rate (percent) for children aged between 12-23 months,المؤشر,النسبة المئوية للتحصين ضد التهاب الكبد للأطفال الذين تتراوح أعمارهم بين 12-23 شهرا
Indicator,Prevalence of stunted children aged <5 years (percent),المؤشر,النسبة المئوية للأطفال دون الخامسة من العمر – قصر القامة
Indicator,Prevalence of wasted children aged <5 years (percent),المؤشر,النسبة المئوية للأطفال دون الخامسة من العمر – النحافة
Indicator,Prevalence of underweight children aged < 5 years (percent),المؤشر,النسبة المئوية للأطفال دون الخامسة من العمر – انخفاض الوزن
Indicator,Prevalence of undernourishment (percent),المؤشر,معدّل انتشار نقص التغذية (نسبة مئوية)
Indicator,Smoking prevalence rate (percent),المؤشر,معدل انتشار التدخين (نسبة مئوية)
Indicator,Number of deaths from car accidents,المؤشر,عدد الوفيات بسبب حوادث السير
Indicator,Percentage of deaths from car accidents,المؤشر,النسبة المئوية للوفيات بسبب حوادث السير
Indicator,"Deaths from conflict per 100,000 people",المؤشر,"الوفيات المتصلة بالنزاع لكل 100,000 نسمة"
Indicator,Number of physicians,المؤشر,عدد الأطباء
Indicator,Number of nurses,المؤشر,عدد الممرضين/الممرضات
Indicator,Number of pharmacists,المؤشر,عدد الصيادلة
Indicator,Number of dentists,المؤشر,عدد أطباء الأسنان
Indicator,Number of hospitals,المؤشر,عدد المستشفيات
Indicator,Number of hospital beds,المؤشر,عدد اسرة المستشفيات
Indicator,Number of pharmacies,المؤشر,عدد الصيدليات
Indicator,Children aged 5-17 engaged in child labor (percent),المؤشر,النسبة المئوية للأطفال الذين تتراوح أعمارهم بين 5 و 17 سنة يعملون في عمل الأطفال
Indicator,Employment (15 years and over) by economic activity (percent),المؤشر,العمالة حسب أقسام النشاط الاقتصادي (%)
Indicator,Employment (15 years and over) by occupation (percent),المؤشر,العمالة حسب أقسام المهن الرئيسية (%)
Indicator,Employment (15 years and over) by sector (percent),المؤشر,العمالة حسب القطاع (عام-خاص-غير ذلك) (%)
Indicator,Employment status (15 years and over) (percent),المؤشر,الحالة العملية (%)
Indicator,Employment to population ratio,المؤشر,نسبة العمالة إلى السكان
Indicator,Expenditure on education as a percentage of total government expenditure  (percent),المؤشر,الإنفاق العام على التعليم (كنسبة مئوية من إجمالي الإنفاق الحكومي)  (نسبة مئوية)
Indicator,Expenditure shares (percent),المؤشر,حصة الإنفاق
Indicator,GINI Index ,المؤشر,مؤشر جيني
Indicator,Government expenditure on education as a percentage of GDP (percent),المؤشر,الإنفاق العام على التعليم (كنسبة مئوية من الناتج المحلي الإجمالي) (نسبة مئوية)
Indicator,Internet Users per 100 inhabitants,المؤشر,عدد مستخدمي الإنترنت لكل 100 نسمة
Indicator,Labor force participation rate,المؤشر,معدل المشاركة في القوى العاملة (%)
Indicator,Net enrolment rate in primary education (percent),المؤشر,معدل الإلتحاق الصافي في مرحلة التعليم الإبتدائي (نسبة مئوية)
Indicator,Net enrolment rate in basic education (percent),المؤشر,معدل الإلتحاق الصافي في مرحلة التعليم الأساسي (نسبة مئوية)
Indicator,Net enrolment rate in secondary education (percent),المؤشر,معدل الإلتحاق الصافي في مرحلة التعليم الثانوي (نسبة مئوية)
Indicator,"Occupied housing units by main source of drinking water, residence and year (percentage)",المؤشر,الوحدات السكنية المأهولة حسب المصدر الرئيسي لمياه الشرب ومكان الإقامة والسنة (%)
Indicator,"Percentage of youth (aged 15-24) outside education, training, and work ",المؤشر,نسبة الشباب (بين 15 و 24 سنة) خارج دائرة التعليم والعمالة والتدريب
Indicator,Persons outside the labor force aged 15 and over (percent),المؤشر,الأفراد خارج القوى العاملة حسب الفئة العمرية 
Indicator,Persons outside the labor force aged 15 and over by reason of activity (percent),المؤشر,الأفراد خارج القوى العاملة حسب السبب
Indicator,Poverty gap at national poverty line (percent),المؤشر,فجوة الفقر عند خط الفقر الوطني
Indicator,Proportion of individuals who own a mobile telephone,المؤشر,نسبة الأفراد الذين يملكون الهاتف المحمول
Indicator,Proportion of the population living below the national poverty line (percent),المؤشر,نسبة السكان الذين يعيشون تحت خط الفقر الوطني
Indicator,"Pupil-teacher ratio, private (percent)",المؤشر,معدل الطلاب إلى المدرسين (ات) في القطاع الخاص (نسبة مئوية) 
Indicator,"Pupil-teacher ratio, public (percent)",المؤشر,معدل الطلاب إلى المدرسين (ات) في القطاع العام (نسبة مئوية) 
Indicator,"Pupil-teacher ratio, total (percent)",المؤشر,معدل الطلاب إلى المدرسين (ات) في جميع القطاعات (نسبة مئوية) 
Indicator,Share of consumption expenditure (percent),المؤشر,حصة الإنفاق الاستهلاكي
Indicator,Source of Lighting (% of total housing units),المؤشر,نوع الإضاءة (نسبة مئوية من مجموع الوحدات السكنية)
Indicator,Tenure of housing unit (%),المؤشر,حيازة الوحدات السكنية (%)
Indicator,Type of living quarters (% of total dwellings),المؤشر,نوع مكان الإقامة (نسبة مئوية من مجموع  المساكن)
Indicator,Types of sewage disposal system (% of total housing units),المؤشر,أنواع نظام تصريف مياه المجاري (نسبة مئوية من مجموع الوحدات السكنية)
Indicator,Unemployment rate,المؤشر,معدل البطالة (%)
Indicator,"Youth literacy rate, population aged 15–24",المؤشر,معدل معرفة القراءة والكتابة للفئة العمرية 15-24 سنة (نسبة مئوية)
Main occupation,Armed forces occupations,أقسام المهن الرئيسية,القوات المسلحة
Main occupation,Clerical support workers,أقسام المهن الرئيسية,الكتبة
Main occupation,Craft and related workers,أقسام المهن الرئيسية,الحرفيون و الأعمال المتعلقة بها
Main occupation,Elementary occupations,أقسام المهن الرئيسية,المهن الأولية
Main occupation,Managers,أقسام المهن الرئيسية,المديرون
Main occupation,Not specified,أقسام المهن الرئيسية,غير محدد
Main occupation,"Plant and machine operators, and assemblers",أقسام المهن الرئيسية,العاملون في تشغيل و تجميع الالات والمعدات
Main occupation,Professionals,أقسام المهن الرئيسية,الاختصاصيون
Main occupation,Service and sales workers,أقسام المهن الرئيسية,العاملون في مهن الخدمات والبيع في الاسواق والمحلات
Main occupation,Skilled agricultural and fishery workers,أقسام المهن الرئيسية,العمال المهرة في الزراعة وصيد الأسماك
Main occupation,Technicians and associate professionals,أقسام المهن الرئيسية,الفنيون ومساعدو الاختصاصيين
Nationality,Nationality Total,المواطنة,مجموع المواطنين وغير المواطنين
Nationality,Nationals,المواطنة,مواطنون
Nationality,Non-nationals,المواطنة,غير مواطنين
Quintile,Highest 20%,الفئة,أغنى 20%
Quintile,Lowest 20%,الفئة,أفقر 20%
Quintile,Total,الفئة,جميع الفثات
Reasons for inactivity,Education,أسباب البقاء خارج القوى العاملة,الدراسة/التدريب
Reasons for inactivity,Homemaker,أسباب البقاء خارج القوى العاملة,الانشغال باعمال المنزل
Reasons for inactivity,Old age/sickness,أسباب البقاء خارج القوى العاملة,كبر السن/ المرض
Reasons for inactivity,Other,أسباب البقاء خارج القوى العاملة,اسباب اخرى
Institutional sector,Mixed,القطاع المؤسسي,مختلط
Institutional sector,Other,القطاع المؤسسي,أخرى
Institutional sector,Private,القطاع المؤسسي,قطاع خاص
Institutional sector,Public,القطاع المؤسسي,قطاع عام
Institutional sector,Sector Total,القطاع المؤسسي,جميع القطاعات
Sex,Both sexes,الجنس,كلا الجنسين
Sex,Female,الجنس,إناث
Sex,Male,الجنس,ذكور
Source,,المصدر,
Source of Lighting,Electricity from a community supply,مصدر الإضاءة,كهرباء من شبكة الكهرباء المحلية
Source of Lighting,Electricity from other sources,مصدر الإضاءة,كهرباء من مصادر أخرى
Source of Lighting,Electricity from private generating plant,مصدر الإضاءة,كهرباء من مولد كهربائي خاص
Source of Lighting,Gas ,مصدر الإضاءة,غاز
Source of Lighting,Non-existent ,مصدر الإضاءة,غير موجود
Source of Lighting,Oil lamps,مصدر الإضاءة,مصابيح زيتية
Source of Lighting,Other,مصدر الإضاءة,أخرى
Source of water supply,Borehole/tube well,مصدر مياه الشرب,    بئر ارتوازي / بئر ارتوازي ذو أنبوب
Source of water supply,"Delivered water—bottled, sachet",مصدر مياه الشرب,    مياه معبأة ومغلفة، (زجاجات، أكياس صغيرة)
Source of water supply,"Delivered water—tanker trucks, carts",مصدر مياه الشرب,    مياه موصولة بواسطة شاحنات صهاريج، عربات
Source of water supply,Other,مصدر مياه الشرب,    أخرى
Source of water supply,Piped water inside the unit from an individual source,مصدر مياه الشرب,    مياه موصولة بالأنابيب داخل الوحدة السكنية من مصدر فردي
Source of water supply,Piped water inside the unit from the community scheme,مصدر مياه الشرب,    مياه موصولة بالأنابيب داخل الوحدة السكنية من نظام المجتمع المحلي
Source of water supply,Piped water outside the unit but within 200 meters from an individual source,مصدر مياه الشرب,    مياه موصولة بالأنابيب خارج الوحدة السكنية ولكن ضمن مسافة 200 متر من مصدر فردي
Source of water supply,Piped water outside the unit but within 200 meters from the community scheme,مصدر مياه الشرب,    مياه موصولة بالأنابيب خارج الوحدة السكنية ولكن ضمن مسافة 200 متر من نظام المجتمع المحلي
Source of water supply,Protected dug well,مصدر مياه الشرب,    بئر محمي
Source of water supply,Protected spring,مصدر مياه الشرب,    ينبوع محمي
Source of water supply,Rainwater collection tank,مصدر مياه الشرب,    صهريج تجميع مياه الأمطار
Source of water supply,Unprotected dug well/spring/river/stream/lake/pond/dam/canal/irrigation channel,مصدر مياه الشرب,    بئر / ينبوع / نهر / جدول / سد / قناة ري / قناة ري غير محمية
Tenure of housing unit,In co-operative ownership,نوع حيازة الوحدات السكنية,ملكية مشتركة
Tenure of housing unit,Not specified,نوع حيازة الوحدات السكنية,غير محدد
Tenure of housing unit,Other,نوع حيازة الوحدات السكنية,اخرى
Tenure of housing unit,Owner,نوع حيازة الوحدات السكنية,ملك
Tenure of housing unit,Provided by family,نوع حيازة الوحدات السكنية,مؤمّن من العائلة
Tenure of housing unit,"Provided by the employer, local or central government and/or by nonprofit organizations",نوع حيازة الوحدات السكنية,مؤمّن من قبل صاحب العمل، الحكومة المحلية أو المركزية، و/أو منظمات غير ربحية
Tenure of housing unit,Rented dwelling,نوع حيازة الوحدات السكنية,سكن مستأجر
Type of living quarter,"Camps and worker’s quarters (military camps, workers' camps, refugee camps,  camps for internally displaced persons, other)",نوع مكان الإقامة,المعسكرات وأماكن إقامة العمال (المعسكرات العسكرية، معسكرات العمال، مخيمات اللاجئين، مخيمات النازحين داخلياً، وأخرى)
Type of living quarter,Conventional dwelling does not have all basic facilities,نوع مكان الإقامة,السكن التقليدي لا يحتوي على جميع المرافق الأساسية
Type of living quarter,Conventional dwelling with all basic facilities,نوع مكان الإقامة,السكن التقليدي مع المرافق الأساسية
Type of living quarter,"Hotels, rooming houses and other lodging houses",نوع مكان الإقامة,الفنادق ودور الحجز والمبيت الأخرى
Type of living quarter,Informal housing units,نوع مكان الإقامة,وحدات السكن العشوائية
Type of living quarter,"Institutions (hospitals, correctional institutions, military institutions, religious  institutions, retirement homes, homes for elderly, student dormitories, staff quarters,  orphanages, other)",نوع مكان الإقامة,المؤسسات (المستشفيات، المؤسسات الإصلاحية، المؤسسات العسكرية، المؤسسات الدينية، دور المسنين، دور المسنين، السكن الجامعي، أماكن إقامة الموظفين، دور الأيتام، وأخرى)
Type of living quarter,Mobile housing units,نوع مكان الإقامة,وحدات السكن المتنقلة
Type of living quarter,Other,نوع مكان الإقامة,أخرى
